,map_name,started,weap_name,d_reason,d_category
0,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
1,Miramar,2020-08-02T22:58:14.5761643Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
2,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,LegShot,Damage_Gun
3,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,TorsoShot,Damage_Gun
4,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
5,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,TorsoShot,Damage_Gun
6,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,ArmShot,Damage_Gun
7,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,PelvisShot,Damage_Gun
8,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
9,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,PelvisShot,Damage_Gun
10,Miramar,2020-08-02T22:58:14.5761643Z,WeapMk14_C,PelvisShot,Damage_Gun
11,Miramar,2020-08-02T22:58:14.5761643Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
12,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
13,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
14,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,HeadShot,Damage_Gun
15,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,PelvisShot,Damage_Gun
16,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,TorsoShot,Damage_Gun
17,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
18,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,HeadShot,Damage_Gun
19,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,PelvisShot,Damage_Gun
20,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,LegShot,Damage_Gun
21,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,LegShot,Damage_Gun
22,Miramar,2020-08-02T22:58:14.5761643Z,WeapAUG_C,TorsoShot,Damage_Gun
23,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
24,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
25,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
26,Miramar,2020-08-02T22:58:14.5761643Z,BP_MolotovFireDebuff_C,NonSpecific,Damage_Molotov
27,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,HeadShot,Damage_Gun
28,Miramar,2020-08-02T22:58:14.5761643Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
29,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,TorsoShot,Damage_Gun
30,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,HeadShot,Damage_Gun
31,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,PelvisShot,Damage_Gun
32,Miramar,2020-08-02T22:58:14.5761643Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
33,Miramar,2020-08-02T22:58:14.5761643Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
34,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,TorsoShot,Damage_Gun
35,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
36,Miramar,2020-08-02T22:58:14.5761643Z,WeapKar98k_C,HeadShot,Damage_Gun
37,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
38,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
39,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,LegShot,Damage_Gun
40,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
41,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,TorsoShot,Damage_Gun
42,Miramar,2020-08-02T22:58:14.5761643Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
43,Miramar,2020-08-02T22:58:14.5761643Z,WeapAK47_C,HeadShot,Damage_Gun
44,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,HeadShot,Damage_Gun
45,Miramar,2020-08-02T22:58:14.5761643Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
46,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,PelvisShot,Damage_Gun
47,Miramar,2020-08-02T22:58:14.5761643Z,WeapMini14_C,TorsoShot,Damage_Gun
48,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
49,Miramar,2020-08-02T22:58:14.5761643Z,WeapFNFal_C,TorsoShot,Damage_Gun
50,Miramar,2020-08-02T22:58:14.5761643Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
51,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,HeadShot,Damage_Gun
52,Miramar,2020-08-02T22:58:14.5761643Z,PlayerFemale_A_C,None,Damage_Groggy
53,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,ArmShot,Damage_Gun
54,Miramar,2020-08-02T22:58:14.5761643Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
55,Miramar,2020-08-02T22:58:14.5761643Z,WeapBerylM762_C,HeadShot,Damage_Gun
56,Miramar,2020-08-02T22:58:14.5761643Z,WeapHK416_C,ArmShot,Damage_Gun
57,Miramar,2020-08-02T22:58:14.5761643Z,BP_FireEffectController_C,NonSpecific,Damage_Molotov
58,Miramar,2020-08-02T22:58:14.5761643Z,PlayerMale_A_C,None,Damage_Groggy
59,Miramar,2020-08-02T22:58:14.5761643Z,BP_FireEffectController_C,NonSpecific,Damage_Molotov
60,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,Uaz_B_01_esports_C,NonSpecific,Damage_VehicleHit
61,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,Dacia_A_03_v2_Esports_C,NonSpecific,Damage_VehicleHit
62,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapHK416_C,LegShot,Damage_Gun
63,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapMini14_C,TorsoShot,Damage_Gun
64,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapHK416_C,HeadShot,Damage_Gun
65,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,Buff_DecreaseBreathInApnea_C,NonSpecific,Damage_Drown
66,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,PlayerFemale_A_C,None,Damage_Groggy
67,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,PlayerFemale_A_C,None,Damage_Groggy
68,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapBerylM762_C,HeadShot,Damage_Gun
69,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,PlayerFemale_A_C,None,Damage_Groggy
70,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapBerylM762_C,TorsoShot,Damage_Gun
71,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapSKS_C,PelvisShot,Damage_Gun
72,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapFNFal_C,TorsoShot,Damage_Gun
73,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapFNFal_C,LegShot,Damage_Gun
74,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapMini14_C,PelvisShot,Damage_Gun
75,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapBerylM762_C,HeadShot,Damage_Gun
76,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapBerylM762_C,TorsoShot,Damage_Gun
77,Erangel (Remastered),2020-07-24T22:58:47.4978671Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
