,map_name,started,weap_name,d_reason,d_category
0,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapUZI_C,PelvisShot,Damage_Gun
1,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,LegShot,Damage_Gun
2,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapAK47_C,TorsoShot,Damage_Gun
3,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,TorsoShot,Damage_Gun
4,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapHK416_C,ArmShot,Damage_Gun
5,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,PelvisShot,Damage_Gun
6,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,TorsoShot,Damage_Gun
7,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,Dacia_A_04_v2_C,NonSpecific,Damage_VehicleHit
8,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapHK416_C,TorsoShot,Damage_Gun
9,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,PelvisShot,Damage_Gun
10,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapBerylM762_C,NonSpecific,Damage_Explosion_Vehicle
11,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapBerylM762_C,NonSpecific,Damage_Explosion_Vehicle
12,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapMini14_C,PelvisShot,Damage_Gun
13,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapFNFal_C,TorsoShot,Damage_Gun
14,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,PlayerFemale_A_C,None,Damage_Groggy
15,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,PlayerFemale_A_C,None,Damage_Groggy
16,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapFNFal_C,TorsoShot,Damage_Gun
17,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapHK416_C,PelvisShot,Damage_Gun
18,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapFNFal_C,HeadShot,Damage_Gun
19,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapBerylM762_C,TorsoShot,Damage_Gun
20,Erangel (Remastered),2020-06-25T10:45:58.0875093Z,WeapHK416_C,TorsoShot,Damage_Gun
