,map_name,started,distance,name,x,y,z
0,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,334.62518310546875,SST_kendesu,96770.9375,445294.0625,1152.933349609375
1,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,316.3844299316406,SST_poly,156144.203125,465269.1875,1673.7723388671875
2,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,313.78582763671875,GRF_2heart,101786.109375,526412.9375,2531.647705078125
3,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,339.70166015625,GEX_Cc,228937.359375,444004.53125,1490.805419921875
4,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,333.8783264160156,SST_CrazySam,220104.75,460365.0,1453.8941650390625
5,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,317.6166076660156,Tian_LuRenA,168785.921875,342070.03125,1442.5240478515625
6,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,329.9263610839844,GEX_Leo,210379.171875,372208.375,1660.4537353515625
7,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,354.9498291015625,GRF_Asura,186552.515625,522404.53125,1289.3245849609375
8,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,332.8764953613281,GEX_MaoYe56,270551.84375,427546.6875,550.5943603515625
9,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,354.4693298339844,GEX_YanLi,222522.046875,396586.3125,1417.0804443359375
10,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,479.2232666015625,SST_Fhy,72867.5625,496195.5625,341.7165222167969
11,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,327.930908203125,ENT_Under,377661.5,435697.1875,3446.218017578125
12,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,386.5513610839844,GRF_Hwan2da,223208.03125,561391.0625,553.2478637695312
13,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,342.7652282714844,iFTY_Jiaoyang,295470.78125,542952.25,1251.19287109375
14,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,320.827880859375,ENT_kAyle,366766.625,409418.96875,4310.40478515625
15,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,412.54327392578125,Tian_M200,161737.265625,295756.1875,1141.91650390625
16,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,335.9066467285156,iFTY_9,326809.28125,534351.375,1513.3050537109375
17,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,453.8304443359375,Tian_mingz1,143977.578125,292511.34375,1120.3160400390625
18,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,402.9164733886719,ENT_indigo,325701.53125,382527.5625,4086.443359375
19,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,336.16748046875,VLG_Hikari,311788.5625,333018.65625,483.87567138671875
20,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,347.11065673828125,iFTY_LongSkr,383439.34375,474850.8125,2343.388671875
21,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,339.0819396972656,OPGG_Alphaca,432023.25,466700.84375,2561.17724609375
22,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,342.7699890136719,4AM_xxxLu,408372.625,346691.375,119.26737213134766
23,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,433.623291015625,iFTY_L1nnnn,364765.65625,454257.59375,1678.7711181640625
24,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,487.19158935546875,Tian_LinShuNN,202764.3125,292165.03125,1172.340576171875
25,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,441.9117736816406,ENT_Seongjang,362749.4375,391800.09375,3715.089599609375
26,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,343.03857421875,OPGG_Dumbo,515225.28125,459095.71875,1238.977783203125
27,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,344.2391357421875,OPGG_Silky,534299.5625,482516.59375,234.62460327148438
28,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,315.9986877441406,NH_xkkk,579827.0,456958.8125,2200.203369140625
29,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,406.84423828125,OPGG_Ayoh,479005.03125,415755.71875,5828.40966796875
30,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,308.26336669921875,MCG_Summer,522975.28125,377232.625,3015.431884765625
31,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,330.4990234375,MCG_Tanki995,554830.6875,407174.4375,2796.39501953125
32,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,388.7071228027344,PeRo_Mamu,376621.0625,596135.375,1494.427001953125
33,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,302.20452880859375,AF_EJ,631312.125,419988.46875,10001.6787109375
34,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,418.35015869140625,4AM_Forever,424320.125,325446.1875,1450.4815673828125
35,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,338.4866638183594,MCG_EviLLee,548669.8125,359557.6875,552.47119140625
36,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,295.15863037109375,PeRo_LongDD,549533.9375,591917.4375,2938.63818359375
37,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,430.0768127441406,NH_liKeNan,557439.4375,500558.84375,906.49560546875
38,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,384.19354248046875,NH_MMingDD,600520.8125,481123.9375,365.7131652832031
39,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,358.8677673339844,NH_Giaoiqq,631609.9375,485486.71875,373.37103271484375
40,Erangel (Remastered),2020-11-12T10:11:09.6147781Z,690.120849609375,GRF_2tap,152192.390625,614009.0625,180.26893615722656
