,map_name,started,distance,name,x,y,z
0,Erangel (Remastered),2020-08-16T19:15:46.81975Z,323.6260070800781,NLT_spyrro,604172.6875,600030.6875,854.5018310546875
1,Erangel (Remastered),2020-08-16T19:15:46.81975Z,324.63824462890625,NLT_BatulinS,604342.1875,606716.875,506.53350830078125
2,Erangel (Remastered),2020-08-16T19:15:46.81975Z,354.8409118652344,NLT_Deep,632081.125,613808.25,98.01931762695312
3,Erangel (Remastered),2020-08-16T19:15:46.81975Z,306.9576416015625,NLT_Perfect1ks,549614.5,595617.8125,2360.512939453125
4,Erangel (Remastered),2020-08-16T19:15:46.81975Z,296.3940734863281,UT_POKAMOLODOY,571866.1875,492054.5,900.4520874023438
5,Erangel (Remastered),2020-08-16T19:15:46.81975Z,369.24029541015625,UT_SeT,616453.875,497140.125,1108.1763916015625
6,Erangel (Remastered),2020-08-16T19:15:46.81975Z,358.9630126953125,UT_Dan1mon,600284.5,481100.96875,446.3402099609375
7,Erangel (Remastered),2020-08-16T19:15:46.81975Z,336.84014892578125,sW_ItzzChrizZ,559171.125,503313.1875,1676.3134765625
8,Erangel (Remastered),2020-08-16T19:15:46.81975Z,323.9922790527344,DV_APTYP,469442.90625,637944.4375,599.1573486328125
9,Erangel (Remastered),2020-08-16T19:15:46.81975Z,328.69854736328125,DV_IllidanSR,458821.625,630346.5625,390.0188293457031
10,Erangel (Remastered),2020-08-16T19:15:46.81975Z,363.77001953125,FaZe_Gustav,639509.75,470274.46875,744.9894409179688
11,Erangel (Remastered),2020-08-16T19:15:46.81975Z,374.8035583496094,UT_H1RUZEN,583402.0,469328.78125,899.6181030273438
12,Erangel (Remastered),2020-08-16T19:15:46.81975Z,314.7192687988281,DV_Bulbalord,433341.9375,634354.0625,204.4993896484375
13,Erangel (Remastered),2020-08-16T19:15:46.81975Z,332.8748779296875,ENCE_SKUIJKE,473639.75,677383.375,165.74612426757812
14,Erangel (Remastered),2020-08-16T19:15:46.81975Z,438.226806640625,FaZe_ubah,682995.3125,494719.90625,112.27847290039062
15,Erangel (Remastered),2020-08-16T19:15:46.81975Z,405.39202880859375,ENCE_Tiikzu,535808.625,678981.75,6208.86376953125
16,Erangel (Remastered),2020-08-16T19:15:46.81975Z,327.5905456542969,DV_GoldBee,449810.09375,620605.1875,1018.2461547851562
17,Erangel (Remastered),2020-08-16T19:15:46.81975Z,389.9484558105469,sW_KILYAKAi,502910.59375,486136.9375,540.9666748046875
18,Erangel (Remastered),2020-08-16T19:15:46.81975Z,318.0777282714844,MF4_dogz3R,383302.1875,589565.875,1590.668701171875
19,Erangel (Remastered),2020-08-16T19:15:46.81975Z,334.154052734375,sW_Zoccer,484742.1875,450544.125,1196.61181640625
20,Erangel (Remastered),2020-08-16T19:15:46.81975Z,335.93634033203125,MF4_rappha,380036.375,624163.0,978.5538330078125
21,Erangel (Remastered),2020-08-16T19:15:46.81975Z,375.6466064453125,sW_Braexco,540516.25,453041.28125,173.39927673339844
