,map_name,started,distance,name,x,y,z
0,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,304.06597900390625,FaZe_Fuzzface,687359.875,462426.59375,1941.8851318359375
1,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,277.4629821777344,NLT_Lu,633304.875,612273.1875,108.25431823730469
2,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,347.8853454589844,FaZe_Gustav,639828.8125,468310.71875,1000.65625
3,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,352.4187927246094,PINK_AIMLUL,601976.1875,480634.5625,1153.434326171875
4,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,319.61322021484375,NLT_spyrro,601205.0,603730.0625,263.4523620605469
5,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,335.6660461425781,sW_ItzzChrizZ,564360.5625,502867.84375,827.2630004882812
6,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,307.92022705078125,NLT_Perfect1ks,583006.5625,596088.5,1311.51123046875
7,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,328.28173828125,PINK_GIRYA,571787.625,491224.90625,998.6401977539062
8,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,448.70672607421875,FaZe_ubah,650886.0625,497702.28125,267.68829345703125
9,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,379.755126953125,NLT_BatulinS,605288.5625,606413.375,992.9397583007812
10,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,403.48321533203125,PINK_VampireGame,603427.8125,467679.5625,1883.9510498046875
11,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,412.2232971191406,FaZe_Aitzy,711350.375,439149.53125,1726.8616943359375
12,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,468.4769287109375,PINK_Archi,623369.125,493954.03125,762.376953125
13,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,317.4639587402344,sW_Braexco,465758.34375,468743.9375,334.0743713378906
14,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,314.67816162109375,RL_Qbe,553859.875,385487.6875,2353.9306640625
15,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,328.0964660644531,OMK_PaG3,522737.46875,377632.8125,2081.998046875
16,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,322.65899658203125,TE_alyagg,433562.28125,467643.40625,2011.7410888671875
17,Erangel (Remastered),2020-11-08T19:13:00.4983895Z,371.4240417480469,TE_xmpl,469686.53125,438109.1875,1882.7218017578125
