tournament_id,map_name,started,event_type,damage_causer_name,damage_reason,damage_type_category
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,LegShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapAK47_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapAK47_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSCAR-L_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSCAR-L_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSCAR-L_C,PelvisShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSCAR-L_C,PelvisShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSCAR-L_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,NonSpecific,Damage_Explosion_Vehicle
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapAWM_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,PelvisShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,LegShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMk14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,ArmShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,PelvisShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSKS_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSKS_C,LegShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,LegShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerMale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMk14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapFNFal_C,PelvisShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapMini14_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerMale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,PlayerFemale_A_C,None,Damage_Groggy
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapSKS_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,TorsoShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T05:05:49.436107Z,LogPlayerKill,WeapHK416_C,HeadShot,Damage_Gun
na-pgcgf,Erangel,2019-11-25T04:20:36.7136934Z,LogPlayerKill,WeapHK416_C,NonSpecific,Damage_Explosion_Vehicle
na-pgcgf,Erangel,2019-11-25T04:20:36.7136934Z,LogPlayerKill,WeapMk14_C,TorsoShot,Damage_Gun
