,weapon,x,y
0,Item_Weapon_FNFal_C,176791.25,629978.75
1,Item_Weapon_FNFal_C,270036.5,562863.1875
2,Item_Weapon_SCAR-L_C,301249.59375,544614.9375
3,Item_Weapon_HK416_C,374132.875,416391.5
4,Item_Weapon_Mini14_C,328850.28125,394445.1875
5,Item_Weapon_Mini14_C,240874.890625,438396.3125
6,Item_Weapon_HK416_C,328842.09375,394426.34375
7,Item_Weapon_FNFal_C,373510.34375,417073.65625
8,Item_Weapon_Mini14_C,571772.125,420014.34375
9,Item_Weapon_BerylM762_C,374022.1875,416784.21875
10,Item_Weapon_SCAR-L_C,434673.3125,452406.03125
11,Item_Weapon_AK47_C,579908.25,487009.5
12,Item_Weapon_HK416_C,382088.875,473340.90625
13,Item_Weapon_HK416_C,213381.3125,366872.28125
14,Item_Weapon_Mini14_C,433904.625,450862.34375
15,Item_Weapon_SCAR-L_C,292538.15625,444930.59375
16,Item_Weapon_Mini14_C,566386.1875,381483.75
17,Item_Weapon_Mini14_C,634378.0,416449.5625
18,Item_Weapon_Mini14_C,622236.0625,371931.1875
19,Item_Weapon_AK47_C,463524.875,423212.15625
20,Item_Weapon_AK47_C,505355.78125,382583.78125
21,Item_Weapon_SCAR-L_C,634369.8125,416464.5625
22,Item_Weapon_FNFal_C,422597.5625,324172.90625
23,Item_Weapon_SCAR-L_C,398757.5,301607.03125
24,Item_Weapon_FNFal_C,366233.875,408107.5625
25,Item_Weapon_SCAR-L_C,674414.625,180580.890625
26,Item_Weapon_SKS_C,397901.84375,354053.78125
27,Item_Weapon_SCAR-L_C,445591.0,336017.21875
28,Item_Weapon_SCAR-L_C,463911.4375,422887.75
29,Item_Weapon_BerylM762_C,157351.46875,619946.125
30,Item_Weapon_SCAR-L_C,579824.9375,486666.59375
31,Item_Weapon_FNFal_C,219926.453125,558600.4375
32,Item_Weapon_BerylM762_C,572444.875,419897.59375
33,Item_Weapon_AK47_C,304068.875,542667.5
34,Item_Weapon_FNFal_C,634940.8125,417011.65625
35,Item_Weapon_Mini14_C,579522.375,486931.625
36,Item_Weapon_AK47_C,177891.875,618426.3125
37,Item_Weapon_SCAR-L_C,463450.125,423850.46875
38,Item_Weapon_Mini14_C,369182.5,508967.1875
39,Item_Weapon_FNFal_C,685030.375,462051.0625
40,Item_Weapon_SKS_C,623503.875,373488.71875
41,Item_Weapon_FNFal_C,724979.375,435124.34375
42,Item_Weapon_AK47_C,218316.515625,392809.5625
43,Item_Weapon_SCAR-L_C,244814.75,438471.125
44,Item_Weapon_AK47_C,674344.375,180677.390625
45,Item_Weapon_SCAR-L_C,219064.53125,559162.5625
46,Item_Weapon_HK416_C,580985.375,484734.71875
47,Item_Weapon_SKS_C,505735.5625,382385.65625
48,Item_Weapon_SKS_C,178834.53125,305739.96875
49,Item_Weapon_SCAR-L_C,466603.9375,317540.15625
50,Item_Weapon_HK416_C,302930.96875,542860.875
51,Item_Weapon_FNFal_C,399050.75,300328.90625
52,Item_Weapon_BerylM762_C,363271.0625,393791.21875
53,Item_Weapon_SCAR-L_C,569340.75,348713.84375
54,Item_Weapon_SCAR-L_C,178510.65625,305473.875
55,Item_Weapon_SKS_C,534024.9375,235543.453125
56,Item_Weapon_SCAR-L_C,565867.625,249637.390625
57,Item_Weapon_SKS_C,213237.171875,366358.75
58,Item_Weapon_AK47_C,544095.5,253632.15625
59,Item_Weapon_HK416_C,465875.0625,317022.53125
60,Item_Weapon_AK47_C,726078.875,437785.59375
61,Item_Weapon_HK416_C,425381.0625,325018.625
62,Item_Weapon_HK416_C,463783.15625,423338.625
63,Item_Weapon_HK416_C,372020.0,507811.59375
64,Item_Weapon_BerylM762_C,445517.59375,333983.8125
65,Item_Weapon_SKS_C,544071.9375,253022.890625
66,Item_Weapon_BerylM762_C,301760.8125,505571.4375
67,Item_Weapon_AK47_C,179418.109375,304749.65625
68,Item_Weapon_BerylM762_C,566408.6875,250924.109375
69,Item_Weapon_Mini14_C,621847.3125,297646.84375
70,Item_Weapon_BerylM762_C,465816.125,317298.03125
71,Item_Weapon_SCAR-L_C,564739.6875,385045.3125
72,Item_Weapon_SKS_C,301002.96875,505297.0625
73,Item_Weapon_HK416_C,657404.0,354228.625
74,Item_Weapon_FNFal_C,622544.4375,297897.15625
75,Item_Weapon_Mini14_C,154930.609375,538824.5625
76,Item_Weapon_SKS_C,569864.875,349669.875
77,Item_Weapon_Mini14_C,700850.875,344081.75
78,Item_Weapon_SKS_C,517008.5625,502526.625
79,Item_Weapon_FNFal_C,433086.78125,451799.21875
80,Item_Weapon_Mini14_C,281837.125,397665.5625
81,Item_Weapon_BerylM762_C,726256.4375,435828.46875
82,Item_Weapon_BerylM762_C,400560.34375,303266.5625
83,Item_Weapon_AK47_C,686672.6875,462491.15625
84,Item_Weapon_FNFal_C,641759.5,468838.625
85,Item_Weapon_BerylM762_C,701669.25,343656.59375
86,Item_Weapon_HK416_C,363735.625,407732.1875
87,Item_Weapon_Mini14_C,414104.21875,481796.28125
88,Item_Weapon_BerylM762_C,158133.90625,539958.125
89,Item_Weapon_BerylM762_C,314513.8125,359203.5
90,Item_Weapon_SCAR-L_C,223171.921875,391491.5
91,Item_Weapon_SCAR-L_C,314504.5,359210.59375
92,Item_Weapon_AK47_C,278520.5,567423.0
93,Item_Weapon_AK47_C,414087.0625,481955.90625
94,Item_Weapon_FNFal_C,702191.0,343937.5
95,Item_Weapon_HK416_C,241748.078125,436128.21875
96,Item_Weapon_SKS_C,163879.3125,277347.0
97,Item_Weapon_SKS_C,444209.875,335493.28125
98,Item_Weapon_FNFal_C,569113.375,351234.28125
99,Item_Weapon_BerylM762_C,568524.8125,387645.65625
100,Item_Weapon_AK47_C,155554.34375,274687.5
101,Item_Weapon_BerylM762_C,545965.5625,238167.15625
