,weapon,x,y
0,Item_Weapon_SCAR-L_C,53246.01953125,115327.9453125
1,Item_Weapon_HK416_C,187783.453125,129460.015625
2,Item_Weapon_Mini14_C,400841.71875,305502.875
3,Item_Weapon_HK416_C,474185.5,266559.78125
4,Item_Weapon_BerylM762_C,297093.34375,262710.5625
5,Item_Weapon_FNFal_C,316805.4375,341265.34375
6,Item_Weapon_SCAR-L_C,212265.828125,198330.09375
7,Item_Weapon_AK47_C,390148.03125,183122.09375
8,Item_Weapon_Mini14_C,504783.5625,269108.375
9,Item_Weapon_HK416_C,367161.3125,422240.3125
10,Item_Weapon_AK47_C,462431.5,543143.6875
11,Item_Weapon_Kar98k_C,389753.9375,183233.53125
12,Item_Weapon_AK47_C,471663.375,314817.875
13,Item_Weapon_M24_C,297906.09375,261878.796875
14,Item_Weapon_BerylM762_C,292022.96875,306570.90625
15,Item_Weapon_Mini14_C,390096.5,183269.21875
16,Item_Weapon_HK416_C,282234.84375,138681.390625
17,Item_Weapon_Mini14_C,472486.4375,315085.21875
18,Item_Weapon_HK416_C,509161.875,588519.8125
19,Item_Weapon_BerylM762_C,205079.0,286236.625
20,Item_Weapon_SKS_C,141212.609375,271167.0
21,Item_Weapon_SCAR-L_C,177171.5625,295837.1875
22,Item_Weapon_SKS_C,211248.953125,196572.140625
23,Item_Weapon_Mini14_C,371735.40625,370330.0
24,Item_Weapon_M24_C,428170.375,567329.375
25,Item_Weapon_HK416_C,140799.453125,271754.375
26,Item_Weapon_SCAR-L_C,403891.59375,307505.03125
27,Item_Weapon_M24_C,282406.6875,139127.03125
28,Item_Weapon_HK416_C,436867.875,279988.0
29,Item_Weapon_AK47_C,560363.4375,391710.46875
30,Item_Weapon_M24_C,290769.71875,307078.96875
31,Item_Weapon_Mini14_C,436781.15625,280016.90625
32,Item_Weapon_AK47_C,371939.0625,370659.34375
33,Item_Weapon_BerylM762_C,488522.09375,355158.15625
34,Item_Weapon_AK47_C,446228.5,475758.34375
35,Item_Weapon_Mini14_C,518292.625,654034.8125
36,Item_Weapon_Mini14_C,317234.40625,359547.34375
37,Item_Weapon_SKS_C,441932.90625,239847.421875
38,Item_Weapon_SCAR-L_C,372199.65625,371304.90625
39,Item_Weapon_AK47_C,127772.5859375,217707.734375
40,Item_Weapon_SKS_C,427011.1875,566472.0625
41,Item_Weapon_SCAR-L_C,330523.28125,467837.90625
42,Item_Weapon_Mini14_C,604672.125,638818.4375
43,Item_Weapon_AK47_C,318471.0,359511.0
44,Item_Weapon_HK416_C,518686.1875,655487.3125
45,Item_Weapon_AK47_C,385163.34375,243194.453125
46,Item_Weapon_SKS_C,507545.78125,267099.875
47,Item_Weapon_Mini14_C,510348.65625,589247.0625
48,Item_Weapon_HK416_C,362095.71875,303832.5
49,Item_Weapon_BerylM762_C,561417.8125,473130.0625
50,Item_Weapon_BerylM762_C,638436.375,463122.78125
51,Item_Weapon_SCAR-L_C,581568.375,379469.03125
52,Item_Weapon_AK47_C,623632.5625,602723.8125
53,Item_Weapon_FNFal_C,400826.125,306624.28125
54,Item_Weapon_HK416_C,544238.375,437725.1875
55,Item_Weapon_SKS_C,290479.1875,305404.34375
56,Item_Weapon_HK416_C,383503.3125,486228.0
57,Item_Weapon_Mini14_C,427903.71875,564902.0
58,Item_Weapon_SKS_C,226201.953125,336860.0
59,Item_Weapon_SKS_C,328001.40625,207929.515625
60,Item_Weapon_SCAR-L_C,387891.71875,182713.65625
61,Item_Weapon_HK416_C,603674.0,640242.3125
62,Item_Weapon_Mini14_C,176102.0625,293201.09375
63,Item_Weapon_Mini14_C,537115.3125,265649.4375
64,Item_Weapon_SCAR-L_C,428342.65625,565421.25
65,Item_Weapon_HK416_C,43526.08984375,141691.78125
66,Item_Weapon_HK416_C,159052.109375,296930.375
67,Item_Weapon_SCAR-L_C,535775.0625,291668.75
68,Item_Weapon_AK47_C,524911.0,373312.65625
69,Item_Weapon_HK416_C,332309.65625,468804.21875
70,Item_Weapon_Mini14_C,474252.34375,267123.1875
71,Item_Weapon_BerylM762_C,632930.6875,533934.875
72,Item_Weapon_BerylM762_C,559952.1875,389751.0625
73,Item_Weapon_Mini14_C,53143.3671875,120000.0546875
74,Item_Weapon_HK416_C,401233.71875,307103.84375
75,Item_Weapon_AK47_C,206828.515625,198398.09375
76,Item_Weapon_AK47_C,373949.1875,433830.375
77,Item_Weapon_HK416_C,226494.6875,334740.21875
78,Item_Weapon_SKS_C,332074.21875,430315.90625
79,Item_Weapon_Mini14_C,295531.34375,261688.828125
80,Item_Weapon_SKS_C,333212.4375,470723.5
81,Item_Weapon_AK47_C,544330.5625,438410.5
82,Item_Weapon_SKS_C,563253.9375,475484.625
83,Item_Weapon_HK416_C,591335.875,256328.15625
84,Item_Weapon_FNFal_C,372357.71875,371774.875
85,Item_Weapon_BerylM762_C,526113.6875,374204.34375
86,Item_Weapon_SKS_C,175620.421875,293257.4375
87,Item_Weapon_SKS_C,386659.78125,246553.015625
88,Item_Weapon_AK47_C,363379.6875,303622.5
89,Item_Weapon_M24_C,582676.75,377202.0625
90,Item_Weapon_Mini14_C,329072.0625,206744.671875
91,Item_Weapon_HK416_C,488960.84375,175371.53125
92,Item_Weapon_BerylM762_C,329301.5,430942.34375
93,Item_Weapon_AK47_C,328920.9375,526960.5625
94,Item_Weapon_HK416_C,329072.3125,206735.15625
95,Item_Weapon_FNFal_C,519298.34375,653854.0625
96,Item_Weapon_SCAR-L_C,326672.1875,350914.0
97,Item_Weapon_HK416_C,537407.0,265291.03125
98,Item_Weapon_Mini14_C,455143.21875,541003.75
99,Item_Weapon_FNFal_C,280036.34375,139278.078125
100,Item_Weapon_HK416_C,266722.90625,400496.625
101,Item_Weapon_SKS_C,525456.125,372616.4375
102,Item_Weapon_FNFal_C,562819.875,474276.59375
103,Item_Weapon_FNFal_C,624292.125,601563.25
104,Item_Weapon_SKS_C,630831.875,532931.8125
105,Item_Weapon_BerylM762_C,207204.03125,201004.828125
106,Item_Weapon_BerylM762_C,538940.25,265633.65625
107,Item_Weapon_HK416_C,622537.25,467898.75
108,Item_Weapon_HK416_C,128990.546875,221237.8125
109,Item_Weapon_SKS_C,584107.4375,379424.0
110,Item_Weapon_HK416_C,443568.34375,236986.328125
111,Item_Weapon_AK47_C,144920.171875,286859.59375
112,Item_Weapon_Mini14_C,595658.4375,328578.21875
