,weapon,x,y
0,Item_Weapon_SCAR-L_C,178283.15625,616151.5
1,Item_Weapon_HK416_C,178209.53125,617796.3125
2,Item_Weapon_SKS_C,177503.09375,617809.875
3,Item_Weapon_Mini14_C,152370.90625,604296.9375
4,Item_Weapon_HK416_C,240871.09375,439091.625
5,Item_Weapon_Kar98k_C,488764.46875,456189.875
6,Item_Weapon_AK47_C,253499.234375,428211.1875
7,Item_Weapon_FNFal_C,432993.78125,451472.28125
8,Item_Weapon_AK47_C,218941.109375,559479.875
9,Item_Weapon_M24_C,241483.546875,438582.90625
10,Item_Weapon_SKS_C,362475.78125,412913.0625
11,Item_Weapon_SKS_C,418160.78125,642340.0625
12,Item_Weapon_AK47_C,449320.34375,621131.0
13,Item_Weapon_SCAR-L_C,366338.34375,402479.0625
14,Item_Weapon_SCAR-L_C,366239.875,411286.34375
15,Item_Weapon_HK416_C,362646.5,409165.90625
16,Item_Weapon_AK47_C,486111.84375,450442.0625
17,Item_Weapon_FNFal_C,600179.5625,480268.1875
18,Item_Weapon_HK416_C,362115.125,402440.84375
19,Item_Weapon_SCAR-L_C,358308.0625,405739.03125
20,Item_Weapon_Mini14_C,270024.75,562856.25
21,Item_Weapon_SCAR-L_C,582009.8125,483699.78125
22,Item_Weapon_Mini14_C,358777.875,406047.875
23,Item_Weapon_AK47_C,549546.25,595326.8125
24,Item_Weapon_HK416_C,487892.5,455633.90625
25,Item_Weapon_SKS_C,269972.6875,562267.9375
26,Item_Weapon_AK47_C,417100.9375,477274.21875
27,Item_Weapon_HK416_C,590866.375,473490.84375
28,Item_Weapon_BerylM762_C,365630.59375,409163.1875
29,Item_Weapon_FNFal_C,485832.75,449720.65625
30,Item_Weapon_BerylM762_C,292591.78125,444775.5
31,Item_Weapon_FNFal_C,365376.78125,397205.125
32,Item_Weapon_Mini14_C,177124.3125,625532.625
33,Item_Weapon_HK416_C,155077.03125,538680.0
34,Item_Weapon_HK416_C,152209.9375,607044.25
35,Item_Weapon_BerylM762_C,294642.78125,446388.625
