,weapon,x,y
0,Item_Weapon_AK47_C,455786.0,139992.59375
1,Item_Weapon_Mini14_C,383493.5625,138091.828125
2,Item_Weapon_Mini14_C,495677.34375,176548.390625
3,Item_Weapon_Mini14_C,547570.1875,156245.09375
4,Item_Weapon_AK47_C,546636.75,164626.703125
5,Item_Weapon_HK416_C,466371.03125,316530.34375
6,Item_Weapon_Mini14_C,546949.5,164821.171875
7,Item_Weapon_HK416_C,381072.59375,319035.28125
8,Item_Weapon_SKS_C,466104.34375,315690.15625
9,Item_Weapon_SCAR-L_C,332282.21875,128391.7578125
10,Item_Weapon_Kar98k_C,516531.1875,111331.3671875
11,Item_Weapon_HK416_C,443166.34375,236810.15625
12,Item_Weapon_SCAR-L_C,383851.34375,141585.984375
13,Item_Weapon_SKS_C,556691.9375,145958.25
14,Item_Weapon_Mini14_C,331344.21875,129959.4296875
15,Item_Weapon_SKS_C,400039.1875,280476.9375
16,Item_Weapon_SCAR-L_C,494783.75,176529.140625
17,Item_Weapon_SKS_C,480564.65625,425354.75
18,Item_Weapon_FNFal_C,401285.28125,281267.3125
19,Item_Weapon_HK416_C,544522.875,156462.546875
20,Item_Weapon_Mini14_C,438708.5,617827.625
21,Item_Weapon_Mini14_C,347698.75,266739.59375
22,Item_Weapon_SCAR-L_C,413661.46875,652366.1875
23,Item_Weapon_Mini14_C,413666.125,652346.375
24,Item_Weapon_SKS_C,381001.1875,318613.21875
25,Item_Weapon_SKS_C,429441.4375,596811.4375
26,Item_Weapon_AK47_C,477414.0625,579304.1875
27,Item_Weapon_FNFal_C,296873.59375,312832.875
28,Item_Weapon_Mini14_C,374009.46875,434847.0
29,Item_Weapon_HK416_C,487978.625,355307.9375
30,Item_Weapon_Mini14_C,445687.84375,237596.234375
31,Item_Weapon_SKS_C,447243.46875,370812.9375
32,Item_Weapon_Mini14_C,366917.65625,422952.0625
33,Item_Weapon_SKS_C,329214.375,211359.8125
34,Item_Weapon_Mini14_C,468344.4375,316218.4375
35,Item_Weapon_Mini14_C,326365.5625,354906.34375
36,Item_Weapon_HK416_C,447020.1875,370660.15625
37,Item_Weapon_SKS_C,332788.625,430694.78125
38,Item_Weapon_Mini14_C,430674.71875,597788.3125
39,Item_Weapon_AK47_C,623315.125,468168.5
40,Item_Weapon_HK416_C,375657.0625,433933.46875
41,Item_Weapon_AK47_C,389575.28125,598088.4375
42,Item_Weapon_Mini14_C,441433.46875,531909.0625
43,Item_Weapon_HK416_C,435391.625,618983.5
44,Item_Weapon_Mini14_C,579041.4375,191620.9375
45,Item_Weapon_SKS_C,389452.78125,598734.9375
46,Item_Weapon_SKS_C,487962.0625,557842.4375
47,Item_Weapon_FNFal_C,389951.78125,598723.4375
48,Item_Weapon_Kar98k_C,487963.71875,557833.625
49,Item_Weapon_Kar98k_C,453203.46875,141697.25
50,Item_Weapon_HK416_C,349392.75,265224.03125
51,Item_Weapon_SCAR-L_C,342183.78125,500669.5
52,Item_Weapon_Mini14_C,431920.15625,552517.625
53,Item_Weapon_HK416_C,623541.6875,467666.625
54,Item_Weapon_Mini14_C,379535.1875,319176.4375
55,Item_Weapon_HK416_C,545903.875,164506.859375
56,Item_Weapon_AK47_C,471289.34375,534207.75
57,Item_Weapon_BerylM762_C,524831.75,233560.75
58,Item_Weapon_HK416_C,478747.46875,578847.125
59,Item_Weapon_HK416_C,370009.15625,421660.46875
60,Item_Weapon_Mini14_C,482247.0,427233.34375
61,Item_Weapon_Mini14_C,435923.4375,280251.03125
62,Item_Weapon_AK47_C,327341.5625,209072.640625
63,Item_Weapon_SCAR-L_C,440785.0625,532622.25
64,Item_Weapon_SKS_C,525912.8125,234319.171875
65,Item_Weapon_Mini14_C,488075.09375,645941.875
66,Item_Weapon_SKS_C,526004.0625,374934.5
67,Item_Weapon_BerylM762_C,369955.3125,371531.84375
68,Item_Weapon_Mini14_C,512630.375,109154.1953125
69,Item_Weapon_Mini14_C,622866.5625,467556.78125
70,Item_Weapon_SCAR-L_C,576234.4375,103159.71875
71,Item_Weapon_SCAR-L_C,628022.625,525964.75
72,Item_Weapon_SCAR-L_C,436412.75,603434.8125
73,Item_Weapon_Kar98k_C,470413.46875,569943.875
74,Item_Weapon_FNFal_C,377396.40625,321932.59375
75,Item_Weapon_HK416_C,340387.5,499000.46875
76,Item_Weapon_SKS_C,484692.625,516219.0625
77,Item_Weapon_SCAR-L_C,434938.4375,279311.09375
78,Item_Weapon_HK416_C,305009.84375,524736.375
79,Item_Weapon_HK416_C,307896.0,118476.8046875
80,Item_Weapon_HK416_C,470046.375,570048.25
81,Item_Weapon_AK47_C,320635.0,360835.34375
82,Item_Weapon_SCAR-L_C,486985.09375,535345.75
83,Item_Weapon_HK416_C,207086.203125,286555.375
84,Item_Weapon_Mini14_C,391227.0625,621135.4375
85,Item_Weapon_AK47_C,575303.3125,195174.9375
86,Item_Weapon_Kar98k_C,576504.0625,101648.3515625
87,Item_Weapon_Mini14_C,528909.0625,232522.359375
88,Item_Weapon_SCAR-L_C,201879.671875,291456.59375
89,Item_Weapon_HK416_C,375655.28125,369899.875
90,Item_Weapon_AK47_C,480743.1875,429374.78125
91,Item_Weapon_FNFal_C,486748.09375,564379.6875
92,Item_Weapon_HK416_C,434048.78125,278901.96875
93,Item_Weapon_AK47_C,564274.0625,473124.65625
94,Item_Weapon_AK47_C,464860.71875,707334.125
95,Item_Weapon_Mini14_C,478281.09375,579623.125
96,Item_Weapon_HK416_C,523707.71875,375681.875
97,Item_Weapon_AK47_C,574491.875,549453.3125
98,Item_Weapon_HK416_C,449058.90625,634263.0
99,Item_Weapon_Mini14_C,484263.0625,534820.125
100,Item_Weapon_SCAR-L_C,302001.21875,509960.1875
101,Item_Weapon_HK416_C,626391.375,530092.0
102,Item_Weapon_Mini14_C,483016.09375,519448.34375
103,Item_Weapon_Mini14_C,464851.0625,707877.8125
104,Item_Weapon_SKS_C,207811.8125,286638.78125
105,Item_Weapon_HK416_C,318981.90625,342304.28125
106,Item_Weapon_Mini14_C,564300.125,474464.03125
107,Item_Weapon_SKS_C,574685.0625,547306.4375
108,Item_Weapon_Mini14_C,282620.84375,139238.8125
109,Item_Weapon_SKS_C,570355.75,100435.0859375
110,Item_Weapon_Mini14_C,470223.625,569949.9375
111,Item_Weapon_HK416_C,291083.625,315173.0625
112,Item_Weapon_HK416_C,574017.0,193615.953125
113,Item_Weapon_AK47_C,450311.875,633174.75
114,Item_Weapon_AK47_C,336829.84375,431249.0625
115,Item_Weapon_HK416_C,553832.125,139736.859375
116,Item_Weapon_SCAR-L_C,281851.4375,139093.0
117,Item_Weapon_HK416_C,177561.21875,295006.4375
118,Item_Weapon_HK416_C,202245.609375,293053.0625
119,Item_Weapon_HK416_C,489959.625,569597.1875
120,Item_Weapon_SCAR-L_C,573738.8125,547043.1875
121,Item_Weapon_SCAR-L_C,328131.21875,207847.65625
122,Item_Weapon_SKS_C,451043.1875,632788.625
123,Item_Weapon_FNFal_C,553831.8125,138418.359375
124,Item_Weapon_HK416_C,391002.03125,618566.8125
125,Item_Weapon_SCAR-L_C,312633.71875,555744.25
126,Item_Weapon_Mini14_C,184714.03125,278133.625
127,Item_Weapon_HK416_C,476232.28125,517537.1875
128,Item_Weapon_Mini14_C,203280.140625,293465.84375
129,Item_Weapon_HK416_C,241895.59375,618768.875
130,Item_Weapon_AK47_C,412383.4375,258693.1875
131,Item_Weapon_Mini14_C,632532.75,534517.4375
132,Item_Weapon_HK416_C,384844.5625,600535.125
133,Item_Weapon_SCAR-L_C,192094.5625,653969.0
134,Item_Weapon_Mini14_C,328125.34375,206173.890625
135,Item_Weapon_Mini14_C,475958.28125,365097.03125
136,Item_Weapon_SKS_C,172798.3125,293968.6875
137,Item_Weapon_Mini14_C,369368.90625,367754.03125
138,Item_Weapon_HK416_C,441549.125,548300.1875
139,Item_Weapon_SKS_C,470951.75,528439.6875
140,Item_Weapon_HK416_C,301678.5625,509461.3125
141,Item_Weapon_HK416_C,181534.5625,281443.5
142,Item_Weapon_HK416_C,419652.5,567572.125
143,Item_Weapon_SKS_C,325772.59375,351165.78125
144,Item_Weapon_Mini14_C,201300.15625,279840.8125
145,Item_Weapon_Mini14_C,237883.828125,620620.0625
146,Item_Weapon_Mini14_C,570669.625,100646.7265625
147,Item_Weapon_HK416_C,312833.78125,551420.0
148,Item_Weapon_SCAR-L_C,491190.5,649815.6875
149,Item_Weapon_AK47_C,381369.59375,490740.1875
150,Item_Weapon_Mini14_C,177001.75,294622.78125
151,Item_Weapon_Mini14_C,165261.09375,600722.9375
152,Item_Weapon_FNFal_C,286965.34375,526766.3125
153,Item_Weapon_FNFal_C,504602.09375,222542.375
154,Item_Weapon_HK416_C,488582.28125,649645.0
155,Item_Weapon_HK416_C,264672.1875,150094.734375
156,Item_Weapon_FNFal_C,433058.5,222395.53125
157,Item_Weapon_HK416_C,576117.125,553959.5
158,Item_Weapon_Mini14_C,296917.0625,509179.1875
159,Item_Weapon_HK416_C,329343.0625,192411.65625
160,Item_Weapon_HK416_C,363884.1875,417190.875
161,Item_Weapon_HK416_C,164248.6875,601695.9375
162,Item_Weapon_HK416_C,410446.15625,257821.515625
163,Item_Weapon_HK416_C,507605.09375,221556.75
164,Item_Weapon_HK416_C,577823.4375,553906.0
165,Item_Weapon_Mini14_C,132353.03125,604014.6875
166,Item_Weapon_FNFal_C,131943.703125,604337.4375
167,Item_Weapon_HK416_C,307024.375,112497.9765625
168,Item_Weapon_HK416_C,207874.21875,666150.25
169,Item_Weapon_HK416_C,444513.125,237516.953125
170,Item_Weapon_Mini14_C,208265.671875,665974.0
171,Item_Weapon_SCAR-L_C,131440.046875,604645.125
172,Item_Weapon_HK416_C,383314.1875,487414.1875
173,Item_Weapon_HK416_C,465485.75,605293.0
174,Item_Weapon_HK416_C,139238.375,596621.4375
175,Item_Weapon_HK416_C,478333.5,615623.0625
176,Item_Weapon_HK416_C,476331.71875,616694.0
177,Item_Weapon_FNFal_C,553662.375,630012.0625
178,Item_Weapon_FNFal_C,427017.90625,529630.6875
179,Item_Weapon_HK416_C,518415.3125,140915.765625
180,Item_Weapon_FNFal_C,518418.5,140917.375
181,Item_Weapon_Mini14_C,516278.21875,143043.671875
182,Item_Weapon_SCAR-L_C,518353.90625,140961.46875
183,Item_Weapon_SCAR-L_C,489950.5625,519855.75
184,Item_Weapon_SCAR-L_C,518313.34375,141125.265625
185,Item_Weapon_AK47_C,518286.75,141060.0
186,Item_Weapon_HK416_C,518286.75,141060.0
187,Item_Weapon_FNFal_C,521425.28125,508293.0625
188,Item_Weapon_BerylM762_C,561379.25,223925.578125
189,Item_Weapon_HK416_C,519380.9375,507969.21875
190,Item_Weapon_Mini14_C,527811.0,485515.75
191,Item_Weapon_HK416_C,528089.4375,483588.71875
192,Item_Weapon_Mini14_C,540316.75,503590.90625
193,Item_Weapon_Mini14_C,489042.0625,519367.9375
194,Item_Weapon_FNFal_C,489037.875,519372.5625
195,Item_Weapon_SCAR-L_C,489019.59375,519388.0625
196,Item_Weapon_Mini14_C,495935.09375,515230.90625
197,Item_Weapon_FNFal_C,496791.5,518681.46875
198,Item_Weapon_Mini14_C,544220.1875,492978.65625
199,Item_Weapon_SKS_C,56899.02734375,133948.34375
200,Item_Weapon_SCAR-L_C,130459.109375,144531.734375
201,Item_Weapon_SCAR-L_C,328220.53125,207066.21875
202,Item_Weapon_FNFal_C,327639.4375,207425.140625
203,Item_Weapon_AK47_C,388494.625,182979.28125
204,Item_Weapon_SCAR-L_C,305415.15625,180751.34375
205,Item_Weapon_Mini14_C,131045.6640625,145536.734375
206,Item_Weapon_M24_C,266999.8125,206187.828125
207,Item_Weapon_SCAR-L_C,41104.359375,160876.8125
208,Item_Weapon_SKS_C,266770.8125,206585.5625
209,Item_Weapon_SCAR-L_C,442820.9375,236965.671875
210,Item_Weapon_Mini14_C,466944.90625,316464.21875
211,Item_Weapon_HK416_C,388333.5,128245.9296875
212,Item_Weapon_SCAR-L_C,348322.34375,266045.46875
213,Item_Weapon_HK416_C,207772.96875,286809.1875
214,Item_Weapon_Mini14_C,376401.5625,175946.9375
215,Item_Weapon_SCAR-L_C,262329.375,152580.453125
216,Item_Weapon_SCAR-L_C,384638.1875,173367.234375
217,Item_Weapon_Mini14_C,325332.78125,353490.75
218,Item_Weapon_FNFal_C,440824.03125,239312.53125
219,Item_Weapon_SKS_C,384644.90625,173967.3125
220,Item_Weapon_SCAR-L_C,517174.0625,372312.90625
221,Item_Weapon_Mini14_C,466032.5625,265813.21875
222,Item_Weapon_Mini14_C,349424.59375,265282.125
223,Item_Weapon_Mini14_C,265599.21875,205489.09375
224,Item_Weapon_SKS_C,206970.59375,287455.3125
225,Item_Weapon_HK416_C,342808.3125,387922.90625
226,Item_Weapon_SKS_C,303783.1875,178068.03125
227,Item_Weapon_Mini14_C,464944.9375,266841.5
228,Item_Weapon_SKS_C,375130.90625,216178.953125
229,Item_Weapon_Mini14_C,483468.0625,416890.28125
230,Item_Weapon_AK47_C,465002.5625,266210.375
231,Item_Weapon_HK416_C,515860.9375,374754.9375
232,Item_Weapon_Mini14_C,367466.90625,310737.1875
233,Item_Weapon_FNFal_C,389051.84375,305023.8125
234,Item_Weapon_SKS_C,170132.375,213091.015625
235,Item_Weapon_Mini14_C,57244.34765625,133471.828125
236,Item_Weapon_HK416_C,177503.5625,295026.03125
237,Item_Weapon_AK47_C,510892.875,358735.0625
238,Item_Weapon_Mini14_C,176952.9375,294670.625
239,Item_Weapon_SCAR-L_C,465882.625,315082.4375
240,Item_Weapon_HK416_C,119136.2109375,275130.9375
241,Item_Weapon_SKS_C,42021.34765625,143538.34375
242,Item_Weapon_HK416_C,57910.6875,133582.9375
243,Item_Weapon_Kar98k_C,512243.03125,359498.34375
244,Item_Weapon_HK416_C,466556.0625,317223.125
245,Item_Weapon_BerylM762_C,387001.4375,306498.46875
246,Item_Weapon_HK416_C,293590.03125,314204.78125
247,Item_Weapon_Mini14_C,41028.6875,143670.59375
248,Item_Weapon_AK47_C,383653.5,438161.9375
249,Item_Weapon_SCAR-L_C,513595.5,360274.625
250,Item_Weapon_Mini14_C,472003.9375,450628.21875
251,Item_Weapon_Kar98k_C,118150.5,275521.21875
252,Item_Weapon_SCAR-L_C,41069.0078125,142579.609375
253,Item_Weapon_AK47_C,564831.75,471258.15625
254,Item_Weapon_HK416_C,401292.90625,460227.34375
255,Item_Weapon_Mini14_C,512554.1875,360605.625
256,Item_Weapon_AK47_C,448763.0625,241108.15625
257,Item_Weapon_Mini14_C,40546.23828125,316630.78125
258,Item_Weapon_Mini14_C,293441.59375,313231.0625
259,Item_Weapon_Mini14_C,486222.3125,356004.78125
260,Item_Weapon_HK416_C,41498.80859375,142098.65625
261,Item_Weapon_HK416_C,563950.0625,470905.34375
262,Item_Weapon_AK47_C,484777.78125,414257.03125
263,Item_Weapon_Mini14_C,527128.375,237712.171875
264,Item_Weapon_SKS_C,519819.375,507201.1875
265,Item_Weapon_SCAR-L_C,267803.09375,215811.453125
266,Item_Weapon_HK416_C,375578.71875,433917.5
267,Item_Weapon_Mini14_C,169629.703125,217085.609375
268,Item_Weapon_HK416_C,375081.71875,368886.59375
269,Item_Weapon_FNFal_C,118304.75,275605.40625
270,Item_Weapon_Mini14_C,436028.1875,276661.0
271,Item_Weapon_HK416_C,468750.46875,452422.625
272,Item_Weapon_Mini14_C,345771.34375,389596.90625
273,Item_Weapon_AK47_C,367019.65625,422983.0625
274,Item_Weapon_HK416_C,170346.359375,215962.3125
275,Item_Weapon_FNFal_C,557044.625,527633.875
276,Item_Weapon_Mini14_C,375558.5,436146.9375
277,Item_Weapon_SKS_C,291417.125,416771.9375
278,Item_Weapon_Kar98k_C,389814.46875,181887.015625
279,Item_Weapon_FNFal_C,375030.84375,437011.90625
280,Item_Weapon_Mini14_C,367866.1875,424444.34375
281,Item_Weapon_Mini14_C,376446.65625,370114.5
282,Item_Weapon_HK416_C,374285.34375,292828.34375
283,Item_Weapon_FNFal_C,468738.0625,451480.0625
284,Item_Weapon_AK47_C,290052.75,92523.1875
285,Item_Weapon_SCAR-L_C,482383.0,510540.78125
286,Item_Weapon_SKS_C,296615.46875,447921.125
287,Item_Weapon_Mini14_C,401733.1875,462770.34375
288,Item_Weapon_HK416_C,265639.59375,215270.875
289,Item_Weapon_HK416_C,290517.0625,315846.28125
290,Item_Weapon_M24_C,447436.34375,370852.90625
291,Item_Weapon_HK416_C,344696.625,274884.53125
292,Item_Weapon_HK416_C,485095.34375,354475.21875
293,Item_Weapon_SKS_C,280044.625,139544.609375
294,Item_Weapon_HK416_C,38723.96875,318259.9375
295,Item_Weapon_FNFal_C,519352.0,509440.78125
296,Item_Weapon_FNFal_C,505456.3125,374174.84375
297,Item_Weapon_HK416_C,390253.4375,182236.953125
298,Item_Weapon_Mini14_C,297592.71875,449480.03125
299,Item_Weapon_HK416_C,325355.3125,348356.5625
300,Item_Weapon_HK416_C,280425.90625,140024.765625
301,Item_Weapon_Mini14_C,225696.828125,423834.78125
302,Item_Weapon_FNFal_C,386605.78125,180898.8125
303,Item_Weapon_SCAR-L_C,519679.3125,508703.5625
304,Item_Weapon_SCAR-L_C,554561.875,529384.0
305,Item_Weapon_Mini14_C,503886.59375,537525.75
306,Item_Weapon_SCAR-L_C,370983.15625,423075.46875
307,Item_Weapon_Mini14_C,483067.34375,508217.03125
308,Item_Weapon_AK47_C,370985.125,423069.59375
309,Item_Weapon_SCAR-L_C,487033.1875,409743.21875
310,Item_Weapon_SCAR-L_C,370985.125,423069.59375
311,Item_Weapon_Kar98k_C,35413.3984375,156738.03125
312,Item_Weapon_FNFal_C,444157.4375,240989.921875
313,Item_Weapon_Mini14_C,389667.0,182670.28125
314,Item_Weapon_SKS_C,286936.46875,93450.046875
315,Item_Weapon_SKS_C,332155.09375,429414.90625
316,Item_Weapon_SKS_C,188592.859375,392681.5
317,Item_Weapon_Mini14_C,281726.0,138355.828125
318,Item_Weapon_SKS_C,193492.09375,412796.0625
319,Item_Weapon_SCAR-L_C,188637.0625,392261.40625
320,Item_Weapon_AK47_C,448860.0,369372.21875
321,Item_Weapon_AK47_C,287497.5,92077.6875
322,Item_Weapon_SCAR-L_C,462581.84375,265995.1875
323,Item_Weapon_SCAR-L_C,439248.90625,276644.34375
324,Item_Weapon_HK416_C,287505.28125,92051.015625
325,Item_Weapon_HK416_C,135111.046875,145579.984375
326,Item_Weapon_HK416_C,504143.1875,536845.5
327,Item_Weapon_AK47_C,382688.65625,487167.875
328,Item_Weapon_HK416_C,483716.0,510012.46875
329,Item_Weapon_Mini14_C,365311.90625,440585.3125
330,Item_Weapon_HK416_C,262430.0,345057.5625
331,Item_Weapon_HK416_C,296764.3125,451762.90625
332,Item_Weapon_HK416_C,552092.875,530979.125
333,Item_Weapon_SCAR-L_C,382491.40625,486359.3125
334,Item_Weapon_SKS_C,171836.015625,306454.21875
335,Item_Weapon_HK416_C,171836.015625,306454.21875
336,Item_Weapon_SCAR-L_C,451015.21875,369778.625
337,Item_Weapon_Mini14_C,188701.96875,391509.71875
338,Item_Weapon_HK416_C,223312.53125,424863.78125
339,Item_Weapon_HK416_C,386758.4375,175977.859375
340,Item_Weapon_FNFal_C,512576.90625,427364.0625
341,Item_Weapon_SCAR-L_C,331628.71875,431324.3125
342,Item_Weapon_HK416_C,290017.21875,416725.3125
343,Item_Weapon_HK416_C,389385.5,183644.203125
344,Item_Weapon_Mini14_C,345466.21875,198585.03125
345,Item_Weapon_HK416_C,528776.6875,231826.6875
346,Item_Weapon_SCAR-L_C,444263.1875,239604.109375
347,Item_Weapon_Mini14_C,504219.15625,369385.71875
348,Item_Weapon_Kar98k_C,562764.875,474117.78125
349,Item_Weapon_HK416_C,368273.0625,421796.375
350,Item_Weapon_AK47_C,414562.0,255390.96875
351,Item_Weapon_FNFal_C,562335.8125,474777.90625
352,Item_Weapon_HK416_C,365336.40625,440702.0
353,Item_Weapon_HK416_C,487893.0625,409824.59375
354,Item_Weapon_Mini14_C,265451.90625,346779.125
355,Item_Weapon_Mini14_C,81595.8515625,540510.0625
356,Item_Weapon_FNFal_C,38655.66796875,132210.890625
357,Item_Weapon_SCAR-L_C,192014.3125,418172.28125
358,Item_Weapon_SCAR-L_C,82238.03125,540615.4375
359,Item_Weapon_Mini14_C,561378.1875,474823.5625
360,Item_Weapon_Mini14_C,328803.5,430921.1875
361,Item_Weapon_FNFal_C,175799.46875,293174.875
362,Item_Weapon_AK47_C,504905.90625,226389.65625
363,Item_Weapon_SCAR-L_C,498194.09375,542507.375
364,Item_Weapon_HK416_C,193813.953125,415926.1875
365,Item_Weapon_HK416_C,498200.46875,542438.4375
366,Item_Weapon_Mini14_C,412347.4375,254337.375
367,Item_Weapon_AK47_C,412347.4375,254337.375
368,Item_Weapon_SCAR-L_C,125866.1953125,599131.3125
369,Item_Weapon_SKS_C,125474.5390625,599608.875
370,Item_Weapon_Mini14_C,193169.859375,285125.40625
371,Item_Weapon_HK416_C,126016.4453125,600483.25
372,Item_Weapon_FNFal_C,504028.875,223945.359375
373,Item_Weapon_HK416_C,433902.65625,278424.46875
374,Item_Weapon_Mini14_C,126032.8046875,600472.625
375,Item_Weapon_HK416_C,507146.90625,423935.125
376,Item_Weapon_AK47_C,370498.1875,217018.671875
377,Item_Weapon_Mini14_C,61110.25,129268.390625
378,Item_Weapon_FNFal_C,347713.0625,199851.03125
379,Item_Weapon_FNFal_C,61110.25,129268.390625
380,Item_Weapon_SCAR-L_C,504100.34375,222755.03125
381,Item_Weapon_Mini14_C,298708.09375,63863.3671875
382,Item_Weapon_FNFal_C,437131.4375,280610.71875
383,Item_Weapon_SCAR-L_C,413426.4375,259100.015625
384,Item_Weapon_FNFal_C,371052.84375,218073.078125
385,Item_Weapon_SCAR-L_C,374358.125,294192.03125
386,Item_Weapon_Mini14_C,46222.95703125,134389.046875
387,Item_Weapon_HK416_C,444150.34375,362642.90625
388,Item_Weapon_FNFal_C,360335.15625,478228.34375
389,Item_Weapon_Mini14_C,384023.5625,317145.75
390,Item_Weapon_SCAR-L_C,325168.5625,193009.953125
391,Item_Weapon_SKS_C,505727.78125,267789.375
392,Item_Weapon_FNFal_C,149800.859375,599449.6875
393,Item_Weapon_HK416_C,97347.1171875,566099.5
394,Item_Weapon_HK416_C,501370.5,69958.7421875
395,Item_Weapon_Mini14_C,362628.3125,477794.9375
396,Item_Weapon_HK416_C,366567.90625,438372.5625
